序号,会议名称,会议时间
序号,会议名称,会议时间
1,第二届董事会第十七次会议,2016 年01 月05 日
2,第二届董事会第十八次会议,2016 年02 月23 日
3,第二届董事会第十九次会议,2016 年03 月25 日
4,第二届董事会第二十次会议-2015 年度董事会,2016 年05 月27 日
5,第二届董事会第二十一次会议,2016 年09 月2 日
6,第二届董事会第二十二次会议,2016 年10 月28 日
7,第二届董事会第二十三次会议,2016 年11 月28 日
8,第二届董事会第二十四次会议,2016 年12 月26 日
9,第二届董事会第二十五次会议,2017 年01 月23 日
10,第二届董事会第二十六次会议,2017 年03 月06 日
11,第二届董事会第二十七次会议-2016 年度董事会,2017 年05 月31 日
12,第三届董事会第一次会议,2017 年06 月21 日
13,第三届董事会第二次会议,2017 年07 月03 日
14,第三届董事会第三次会议,2017 年09 月22 日
15,第三届董事会第四次会议,2017 年10 月27 日
16,第三届董事会第五次会议,2017 年12 月22 日
17,第三届董事会第六次会议,2018 年01 月24 日
18,第三届董事会第七次会议,2018 年02 月28 日
19,第三届董事会第八次会议,2018 年03 月27 日
20,第三届董事会第九次会议,2018 年06 月01 日
