股票种类,人民币普通股（A 股）,,
股票种类,人民币普通股（A 股）,,
每股面值,1.00 元,,
发行股数,"不低于1,840 万股",占发行后总股本比例,不低于25.00%
其中：发行新股数量,"不低于1,840 万股",占发行后总股本比例,不低于25.00%
股东公开发售股份数量,0 万股,占发行后总股本比例,-
发行后总股本,"不低于7,360 万股",,
每股发行价格,【】,,
"发行人高管、员工拟参与战
略配售情况（如有）",【】,,
"保荐人相关子公司拟参与
战略配售情况（如有）","保荐机构将安排相关子公司参与本次发行战略配售，具体按照上
交所相关规定执行。保荐机构及其相关子公司后续将按要求进一
步明确参与本次发行战略配售的具体方案，并按规定向上交所提
交相关文件",,
发行市盈率,【】倍（按询价确定的每股发行价格除以发行后每股收益计算）,,
发行前每股净资产,3.80 元/股,发行前每股收益,0.81 元/股
发行后每股净资产,【】,发行后每股收益,【】
发行市净率,"【】倍（按询价确定的每股发行价格除以发行后每股净资产计
算）",,
发行方式,"网下向配售对象询价配售和网上按市值申购方式向社会公众投
资者定价发行相结合的方式进行；或采用中国证监会认可的其他
发行方式",,
发行对象,"符合资格的询价对象和在上海证券交易所开户的科创板市场合
格投资者（法律、法规禁止购买者除外）",,
承销方式,余额包销,,
拟公开发售股份股东名称,无,,
发行费用的分摊原则,不适用,,
发行费用概算,"共计【】万元，其中保荐及承销费用【】万元、审计及验资费用
【】万元、律师费用【】万元、评估费用【】万元、发行手续费
用及股票登记费等【】万元",,
