项目,2018.12.31,2017.12.31,2016.12.31
项目,2018.12.31,2017.12.31,2016.12.31
流动资产：,,,
货币资金,"40,174,486.48","54,086,764.32","8,491,252.18"
应收票据及应收账款,"198,951,996.25","120,808,267.32","97,726,604.60"
预付款项,"2,652,362.21","1,213,905.53","1,387,973.42"
其他应收款,"31,718,947.80","22,153,134.19","10,035,823.97"
存货,"28,157,460.41","50,031,804.25","49,927,112.22"
其他流动资产,-,-,669.12
流动资产合计,"301,655,253.15","248,293,875.61","167,569,435.51"
非流动资产：,,,
长期股权投资,"12,000,000.00","2,000,000.00","2,000,000.00"
固定资产,"7,789,320.06","7,073,927.60","7,764,617.84"
无形资产,"332,247.96","391,140.98","497,581.70"
长期待摊费用,"336,138.25","56,948.71",-
递延所得税资产,"4,922,682.64","3,038,923.75","2,383,827.41"
