项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
一、营业收入,"191,069,750.88","148,815,544.04","79,862,130.46"
减：营业成本,"53,607,290.12","50,040,115.02","19,466,500.62"
税金及附加,"2,542,337.66","2,207,203.65","1,550,839.28"
销售费用,"22,791,885.71","20,568,240.30","19,485,188.23"
管理费用,"16,296,126.86","11,166,620.53","10,278,899.04"
研发费用,"23,097,931.35","14,302,694.67","15,904,073.70"
财务费用,"-182,670.61","1,181,758.00","2,212,112.30"
其中：利息费用,"116,817.59","1,256,999.09","2,252,255.53"
利息收入,"306,145.78","80,122.24","45,037.89"
资产减值损失,"12,584,613.96","4,467,302.20","1,740,666.12"
加：其他收益,"5,644,445.72","3,629,738.63",-
投资收益,-,-,-
资产处置收益,"-8,509.87",-,-
二、营业利润,"65,968,171.68","48,511,348.30","9,223,851.17"
加：营业外收入,305.34,"314,182.75","4,028,252.71"
减：营业外支出,287.51,-,"30,000.00"
三、利润总额,"65,968,189.51","48,825,531.05","13,222,103.88"
减：所得税费用,"9,186,390.40","7,004,346.49","1,709,859.08"
四、净利润,"56,781,799.11","41,821,184.56","11,512,244.80"
按经营持续性分类：,,,
1、持续经营净利润,"56,781,799.11","41,821,184.56","11,512,244.80"
2、终止经营净利润,-,-,-
五、其他综合收益的税后净额,-,-,-
六、综合收益总额,"56,781,799.11","41,821,184.56","11,512,244.80"
