项目,"序
号",2018 年度,2017 年度,2016 年度
项目,"序
号",2018 年度,2017 年度,2016 年度
"归属于公司普通股股东
的净利润",,,,
期初股份总数,D,"52,250,000.00","33,000,000.00","33,000,000.00"
"因公积金转增股本或股
票股利分配等增加股份
数",E,-,"17,160,000.00","17,160,000.00"
"发行新股或债转股等增
加股份数",F,"2,950,000.00","2,090,000.00",-
"增加股份次月起至报告
期期末的累计月数",G,4.00,6.00,-
因回购等减少股份数,H,-,-,-
"减少股份次月起至报告
期期末的累计月数",I,-,-,-
报告期缩股数,J,-,-,-
报告期月份数,K,12.00,12.00,12.00
"发行在外的普通股加权
平均数",L,"53,233,333.33","51,205,000.00","50,160,000.00"
基本每股收益,M,0.81,0.63,0.09
"扣除非经常损益基本每
股收益",N,0.77,0.59,0.08
