,序号,,,项目名称,,,第一年,,,第二年,,,总投资,,,占比,
,序号,,,项目名称,,,第一年,,,第二年,,,总投资,,,占比,
1,,,工程建设费用,,,"2,073.40",,,315.50,,,"2,388.90",,,48.49%,,
1.1,,,场地购置费,,,"1,314.00",,,0.00,,,"1,314.00",,,26.67%,,
1.2,,,场地装修费,,,131.40,,,0.00,,,131.40,,,2.67%,,
1.3,,,硬件购置,,,278.00,,,175.50,,,453.50,,,9.21%,,
1.4,,,软件购置,,,350.00,,,140.00,,,490.00,,,9.95%,,
2,,,研发费用,,,950.00,,,"1,491.00",,,"2,441.00",,,49.55%,,
2.1,,,开发人员工资,,,950.00,,,"1,491.00",,,"2,441.00",,,49.55%,,
3,,,基本预备费2%,,,60.47,,,36.13,,,96.60,,,1.96%,,
合计,,,,,,"3,083.87",,,"1,842.63",,,"4,926.50",,,100.00%,,
