,姓名,,,持股方式,,,持股数量（万股）,,,持股比例,,,部门及职务,
,姓名,,,持股方式,,,持股数量（万股）,,,持股比例,,,部门及职务,
程家明,,,直接持有,,,"2,886.29",,,52.29%,,,董事长、总经理,,
,,,间接持有,,,594.33,,,10.77%,,,,,
陈爱民,,,直接持有,,,232.56,,,4.21%,,,董事、副总经理,,
,,,间接持有,,,152.00,,,2.75%,,,,,
姚小华,,,间接持有,,,38.00,,,0.69%,,,董事、董事会秘书、副总经理,,
孔繁东,,,间接持有,,,34.88,,,0.63%,,,副总经理,,
王显利,,,间接持有,,,26.05,,,0.47%,,,副总经理,,
马超,,,间接持有,,,20.01,,,0.36%,,,财务总监,,
陈升亮,,,间接持有,,,18.24,,,0.33%,,,监事会主席、平台研究部负责人,,
程解珍,,,间接持有,,,7.60,,,0.14%,,,监事、总经理助理,,
周志祥,,,间接持有,,,3.00,,,0.05%,,,终端产品部负责人,,
任青,,,间接持有,,,1.00,,,0.02%,,,保密办主任,,
