"2018
年",1,"武汉玉航科技有限公
司",板卡类等,876.75,24.20%
"2018
年",1,"武汉玉航科技有限公
司",板卡类等,876.75,24.20%
,2,"深圳酷迪斯智能数码
有限公司",微投及盒子等,316.74,8.74%
,3,"泰豪软件股份有限公
司","计算机设备及部
件、显示设备等",258.97,7.15%
,4,"武汉楚石科技有限责
任公司",板卡类等,136.57,3.77%
,5,"武汉亚辉信息系统工
程有限公司","计算机设备及部件
等",119.59,3.30%
,合计,,,"1,708.61",47.17%
"2017
年",1,"北京安恒伟业系统工
程技术有限公司",显示设备等,589.74,15.63%
,2,"武汉玉航科技有限公
司",板卡类等,495.24,13.12%
,3,"山东神戎电子股份有
限公司","计算机设备及部
件、结构件等",312.19,8.27%
,4,"泰兴市东盛电子器材
厂",显示设备等,286.96,7.60%
,5,"武汉奔腾网络系统集
成有限公司","计算机设备及部件
等",277.34,7.35%
,合计,,,"1,961.47",51.98%
"2016
年",1,"武汉玉航科技有限公
司",板卡类等,860.18,26.50%
,2,"武汉恒奕鑫创电子科
技有限责任公司","计算机设备及部
件、摄像设备等",817.03,25.17%
,3,"武汉恒玖科技有限公
司","计算机设备及部
件、板卡类等",375.06,11.56%
,4,"深圳酷迪斯智能数码
有限公司",微投及盒子等,246.37,7.59%
,5,"雷众科技（武汉）有
限公司",结构件等,135.97,4.19%
,合计,,,"2,434.60",75.01%
