"序
号","承租
人",出租人,房屋坐落,"租赁面
积（m²）",租金,租赁期限,用途
"序
号","承租
人",出租人,房屋坐落,"租赁面
积（m²）",租金,租赁期限,用途
1,"兴图
新科","胡豫昊、
何文君、
程志红、
宋德斌","武汉市东湖开发
区关山大道一号
光谷软件园六期4
栋4 层",1704.55,"第1 年
129,545.80 元/
月；第2 年
138,068.35 元/
月；第3 年
144,886.75 元/
月","2017.08.08
-
2020.08.07","办
公、
研发
场所"
2,"兴图
新科","北京凯普
林光电科
技股份有
限公司","北京市丰台区诺
德中心A 座（2 号
楼）610、612、613
室",319.51,"606,430 元/年","2016.12.16
–
2019.12.15",办公
3,"兴图
新科",王瑞丰,"北京市丰台区怡
海花园海润园1
号楼2207 室",197.00,"192,000 元/年","2018.02.18
–
2020.02.17","员工
宿舍"
4,"兴图
新科",潘根荣,"北京市丰台区怡
海花园恒泰园2
号楼25 层2501 室",196.74,"13,000 元/月","2018.01.27
–
2020.01.26","员工
宿舍"
5,"兴图
新科",王继红,"北京市海淀区普
惠南里17 号楼20
层2010 室",80.20,"8,500 元/月","2019.04.10
–
2020.04.09","员工
宿舍"
6,"兴图
新科",张豫榕,"南京市白下区苜
蓿圆东街1 号60
幢6 层602 室",99.80,"3,700 元/月","2018.07.01
–
2019.06.30","员工
宿舍"
7,"兴图
新科",彭轼,"新疆库尔勒石化
大道领地凯旋公
馆31-401",116.00,"30,000 元/年","2019.01.08
–
2020.01.07",办公
8,"兴图
新科",殷玲,"东湖新技术开发
区纺织路10 号金",77.33,"3,700 元/月","2019.03.29
-",宿舍
