项目,2018.12.31,2017.12.31,2016.12.31
项目,2018.12.31,2017.12.31,2016.12.31
其他应付款,"927,910.82","26,451,725.94","5,389,214.49"
流动负债合计,"82,322,850.89","92,389,406.48","78,845,465.97"
非流动负债：,,,
非流动负债合计,-,-,-
负债合计,"82,322,850.89","92,389,406.48","78,845,465.97"
所有者权益：,,,
股本,"55,200,000.00","52,250,000.00","33,000,000.00"
资本公积,"44,985,280.80","21,935,280.80","14,710,280.80"
盈余公积,"17,155,387.19","11,477,207.28","7,295,088.82"
未分配利润,"92,520,312.71","60,568,311.77","35,002,887.73"
归属于母公司所有者权益,"209,860,980.70","146,230,799.85","90,008,257.35"
少数股东权益,-,-,-
所有者权益合计,"209,860,980.70","146,230,799.85","90,008,257.35"
负债和所有者权益总计,"292,183,831.59","238,620,206.33","168,853,723.32"
