会计政策变更内容,受影响的报表项目,受影响的报表项目金额（万元）,,
会计政策变更内容,受影响的报表项目,受影响的报表项目金额（万元）,,
,,2018 年度/末,2017 年度/末,2016 年度/末
"调整与日常活动相
关的政府补助",其他收益,565.36,365.05,-
,营业外收入,-565.36,-365.05,-
调整研发支出,管理费用,"-2,834.28","-1,507.92","-1,590.41"
,研发费用,"2,834.28","1,507.92","1,590.41"
调整往来款项,应收票据,-986.61,-73.07,-203.3
,应收账款,"-18,597.78","-11,485.28","-9,107.26"
,"应收票据
及应收账款","19,584.39","11,558.35","9,310.56"
,应付票据,-385.30,-,-
,应付账款,"-1,684.62","-2,137.04","-1,940.69"
,"应付票据
及应付账款","2,069.93","2,137.04","1,940.69"
"应收票据计提坏账
准备","应收票据
及应收账款",-53.30,-3.85,-10.70
,递延所得税资产,7.99,0.58,1.61
,资产减值损失,53.30,3.85,10.70
,所得税费用,-7.99,-0.58,-1.61
,净利润,-45.31,-3.27,-9.09
