公司简称,,流动比率,速动比率,资产负债率
公司简称,,流动比率,速动比率,资产负债率
2018.12.31,淳中科技,12.03,11.12,6.90%
,上海瀚讯,2.44,2.15,67.69%
,景嘉微,12.02,11.24,8.95%
,苏州科达,3.08,2.33,47.70%
,东土科技,2.11,1.90,48.59%
,平均值,6.34,5.75,35.97%
,兴图新科,3.38,3.01,28.18%
2017.12.31,淳中科技,6.41,5.36,13.51%
,上海瀚讯,2.83,2.53,53.15%
,景嘉微,5.97,5.33,16.29%
,苏州科达,3.09,2.15,40.23%
,东土科技,2.09,1.88,36.34%
,平均值,4.08,3.45,31.90%
,兴图新科,2.47,1.91,38.72%
2016.12.31,淳中科技,6.60,5.60,13.19%
,上海瀚讯,3.33,2.79,41.52%
,景嘉微,13.44,12.17,8.86%
,苏州科达,3.61,2.82,32.56%
,东土科技,3.51,3.11,36.34%
,平均值,6.10,5.30,26.49%
,兴图新科,2.00,1.33,46.69%
