项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
净利润,"4,285.52","3,222.25",462.68
加：资产减值准备,"1,339.91",492.79,191.60
"固定资产折旧、油气资产折耗、
生产性生物资产折旧",122.14,119.39,129.34
无形资产摊销,10.87,10.64,11.10
长期待摊费用摊销,4.66,13.29,69.18
"处置固定资产、无形资产和其他
长期资产的损失",0.85,-,-
固定资产报废损失,-,-,-
公允价值变动损失,-,-,-
财务费用,55.27,199.80,225.23
投资损失,-,-,-
递延所得税资产减少,-188.38,-65.51,-24.61
递延所得税负债增加,-,-,-
存货的减少,"1,768.20",109.48,"-1,966.76"
经营性应收项目的减少,"-9,283.85","-2,831.93",-91.58
经营性应付项目的增加,"1,593.34","1,189.28",-64.87
其他,-,-,-
经营活动产生的现金流量净额,-291.47,"2,459.47","-1,058.70"
