,序号,,,项目名称,,,第一年,,,第二年,,,总投资,,,占比,
,序号,,,项目名称,,,第一年,,,第二年,,,总投资,,,占比,
1,,,工程建设费用,,,"11,442.10",,,"1,160.10",,,"12,602.20",,,61.00%,,
1.1,,,场地购置费,,,"8,784.00",,,0.00,,,"8,784.00",,,42.52%,,
1.2,,,场地装修费,,,878.40,,,0.00,,,878.40,,,4.25%,,
1.3,,,硬件购置,,,"1,449.70",,,960.10,,,"2,409.80",,,11.67%,,
1.4,,,软件购置,,,330.00,,,200.00,,,530.00,,,2.57%,,
2,,,开发费用,,,"1,975.00",,,"2,599.50",,,"4,574.50",,,22.14%,,
2.1,,,开发人员工资,,,"1,675.00",,,"2,299.50",,,"3,974.50",,,19.24%,,
2.2,,,云服务费,,,300.00,,,300.00,,,600.00,,,2.90%,,
3,,,基本预备费2%,,,268.34,,,75.19,,,343.53,,,1.66%,,
4,,,铺底流动资金,,,668.41,,,"2,469.69",,,"3,138.10",,,15.19%,,
合计,,,,,,"14,353.85",,,"6,304.48",,,"20,658.33",,,100.00%,,
